text,sentiment
ممكن ملخص فيلم Frozen 2,neutral
سؤال بسيط هو hulk ليش بالفيلم؟,neutral
نفس لحن اغنية the truth,neutral
مسلسل بايخ وحشو مشاهد فقط .. خصوصا هذا المشهد OVER,negative
ايه اللى دخله فى الكلام وقال no,neutral
جماعه يا ريت الي مش عاجبه الفيديو يعمل dislike للفيديو عشان توصله لأكبر عدد من ال dislike خلينا منشفش الاشكال دي تاني,negative
ربي يخلي مصر  فرحة الفرح يليق عليكم اخوكم من algeria,positive
عايز احول فاست باس عشان  بلعب we safe mode,neutral
كدا رمضان احلو يا ريت we كانت عملت الإعلان ده من زمان ♥️♥️,positive
"شغل رخيص اوي لما بالعافية نتفرج من orange app.. notification 
بقيتو شركة خرة و marketing team خرة",negative
والله لو ف اقل من DISLIKE كنت عملت استمر ع كده ي كبير,negative
أنا بحب الأغنية و بحب محمد رمضان love you,positive
"ملف IPTV لمشاهدة مباراة

دورى أبطال أفريقيا

بين النادى الأهلى 
و تاون شيب رولز

الساعة السادسة مساءً على قنوات بين سبورت العربية

الملف يصلح لأجهزة الريسيفر والكمبيوتر

https://facebook1988.blogspot.com/2018/07/blog-post.html",neutral
ده في ناس عاملة dislike :/ الناس دي جاية من كوكب تاني ولا ايه,negative
"مهما حدث في حياتك ، يمكنك البدء من جديد.

‏Whatever happens in your life, you can start over .""🖤😌",neutral
وااااووو جميل رقصو اعشق الرقص أحب آسر تعجبني شخصيتو باي Sugar ايه ياعسليه😂😭😭❤️❤️❤️,positive
انتي يا يسر cool,positive
حبيبي ياتاااااتووووووو وحبيبت قلبي إللي بحبه أووي Marwa,positive
Like you حبيتهة الأغنية كلشس👌👌👍👍,positive
"الفرقة الكورية B.I.G عملت cover للأغنية 🥵 
لاتنسون اللايك أنتم كريمين وهم يستاهلون 
 https://youtu.be/NCQ1mVVsNhU",neutral
DISLIKE ي ملك,negative
شاهد كمية انتاج فأر واحد فقط من فأران التجارب البيضاء .... !! الشرح فى الوصف .. white mouse birth,neutral
كده عظمه اوي ..... I will rip,positive
عاش طول عمرك Number 1,positive
لقد دعوت عليك ، و الباقي على الله. حسبي الله و النعم في وكيلي there will be blood.,negative
"مرحبا عندي قناة باليوتيوب أسمى  BlaloTube بتمنا تروحو تشتركوا فيها وتابعوني
https://www.youtube.com/blalotube 
و شكرا❤️",neutral
في سنة 2022 الكليب ده هيوصل 65 million viewers,neutral
from 1:12:00 to 1:17:00 جامد,positive
بستغرب لما الاقي dislikes على أغنية لـ أحمد مكي 🤔,neutral
واخد مقدمة موسيقى اغنية Sean Paul اثبتلي ان الوساخة ليها ناسها... ربنا عمال يضلك بعد ظلم الطيار,negative
"لعبة pupg بمساحة ٣٥٠ ميغا و تشتغل على التليفونات ضعيفة الاندرويد خش على الرابط
https://ea-isly.com/ew2q",neutral
Deep fake سيء,negative
مشهد قوي bravo  ياسمين و احمد,positive
"اي الحرب ع الاسلام دي 
راقصه برازيليه 2 مليون مشاهده ف يوم... وقارئ القران الكريم zero دعم 
حسبي الله ونعم الوكيل،😩😩😩",negative
"Tamer and Abo! This song deserve to hit the Hit Parade songs very soon. Is there a chance to add English captions to the clip!.... Thank you!
الاغنيه دى تستاهل  انها تبقى اغنية حب عالميه , لو بس تكتبوا الترجمه الانجليزى
 مصر والاغنيه الخفيفه المصرىه اللذيذه تستاهل  ان العالم كله يسمعها",positive
والله يااستاذ حمادة الأغنية جميلة جدا وكل اغانيك جميلة وانت أفضل واحد يغني اغانيك انا احب أشكرك علي مجهودك واقولك شكرا Thanks,positive
ال نفسو يشوف دنيا سمير غانم Like و Subscribe لدنيا,neutral
نفسي يصتضيف BTS اقسم بالله ده يبقا برنامج عالمي,neutral
مش ممكن الاغنيه تجنن بجد .. صوت و كلام و لحن .. on repeat and on my Playlist بجد برافو 👏👏👏👏👏,positive
بجد الاعلان تحفة و she was so missed 💖💖💖💖,positive
خليط بين كليب بيانسه blow   على  جينفر لوبيز  el anillo اللي يوافقني  لايك,neutral
شريهان الروح الحلوه نورتي Tv 😍,positive
"والله احلى هضبه
بس انتي احلى من أي حاجه ف الدنيا ESR ❤️",positive
في شعار BTS على التيشرت بتاع احمد امين 💜💜💜💜🤘🤩,positive
هاذي الاغنيه الها معنا كبير في قلبي و ب ذكرياتي TvT,positive
هما ال 65 واحد اللي  عاملين dislike  بيفهمو منين !!!!,negative
من أحسن اعلانات we,positive
مين الي بيسمع الاغنيه في الحجر المنزلي now,neutral
"اكتر من 61% dislike 😢😂😂
ايه السبب اللي يخليك تعمل الأغنية دي طيب ؟",neutral
اشتركوا في قناتي و شكرا nice song,positive
تحفه فعلا مش كلام كل اغنيه  اجمل من الي قبلها bravo 🤟🏻💜,positive
تحفة جدآ بآلتوفيق ي نجمـ love you,positive
Over شي مقرف كمية القتل والدم كانو الانسان ذبابه قتلها سهل,negative
أغنية مسروقة  من أغنية إيطالية  مافيش أي إجتهاد  ،  أدخل قناة Mohammed tv  تلاقي  الأغنية الأصلية,negative
من أروع المقابلات إلى تمنيت إنها ما تنتهيش فعلا l'learned so much  ❤️❤️,positive
"شريهان هي احلامنا وذكراياتنا الجميلة ربنا يديك الصحة والستر وراحة البال اتمنى للاعلان مئة مليون مشاهدة 
بصراحة  this woman is classy like the goddess hera in all her splendor bravo madam",positive
بتوع ال dislike دول اموت وافهم دماغهم,neutral
"1:20 the best part 
افضل مقطع",positive
طريقة عمل فراخ مشويه في المنزل   بالخلطة السرية  تتبيله رائعه وشهيه Grilled chicken https://youtu.be/y9i3_4lZlcU,neutral
انا صعيدي.. ومش عارف يعني.. day يولاد day,neutral
جميله الاغنية والممثلين ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️love it,positive
و النعمه اسمها ferrari مش ferari,neutral
"خالد الصاوي أداؤه أوفر
أداء fake",negative
8400 الف مختل عقليا عامل unlike,negative
"5:05 
محمود مهدي ..⁦❤️⁩⁦🙌🏻⁩
Thank me later",positive
"عجبني pub  متاع فودافون واكثر عجبني صوت شيرين ...
تحية كبيرة من تونس ⁦🇹🇳⁩⁦🇹🇳⁩ إلى مصر الجميلة",positive
اكذب مقوله بين ٢ بحبو بعض جد اتمنالك حياه سعيده الحب شعور والكره شعور اما صداقه بعد حب  i don't believe on that shit,negative
كليب  جديد علي قناتي حد بيحب تامر عاشور علي فلم yesterday,neutral
"الى بيحب منى الشاذلى 
يعمل اشتراك subscribe فى قناتى ❤😍❤😍",positive
هما دول ال peacekeepers ؟,neutral
ليه عاملين tune لصوت هاني الدقاق ؟ دي أسوأ حاجة في الأغنية,negative
"الاغنيه رائعه وحسين الجسمي مبدع دائما 
Libyan fan 🇱🇾❤️🥰",positive
حد خد بالو من لوجو BTS,neutral
مين ولاد الوسخة اللي عاملين dislike,negative
إنضمي إلى قناة Easy cooking لعمل وصفات متنوعة كل يوم😊🌹,neutral
في 8000 متخلف عامل dislike الله ينعل ميتن ابوكم عالم مقرفة,negative
الفنان يوسف الشريف فنان ممتاز جدا وانا بحب الافلام الي هو مثل فيها اوي وانا مستنية الفلم ينزل في سينما vox الي في الركافور في دبي علشان انا عايشة في الإمارات و كمان اول ما ينزل هروح و اشوف الفلم 👋👋💝💝,positive
ليه الجزء الاول اتعمل عليه كوبي رايت واتمسح من mbc group مالها ومال قناة dmc,neutral
"الاغنية و اسلوب تصوير الكليب شبه كليبات و اغاني psy
حتى فكرة اللزمة بتاع الرقص مع كل chorus
شبه gangnam style , daddy",neutral
ايه الاوفر دا افشل مسلسل في رمضان يا عمي هو بيتكلم كدا ازاي سليم  ده مش صعيدي ده اوفر و القصة بايخة اوي اوي ايه دا و قالك عايز يبقى  المخرج الاكثر اجرا انا من الحلقة ١ و انا بتفرج نفس الحجات بتتعاد و الخناقات و اللهجة الاوفر مفيش حاجة جديدة   Big flop👌,negative
كلة يعمل Dislike علشان يبطل يقرفنا,negative
إنجي جابت فيلمين اجنبي معروفين world war z and the Bird box وضربتهم في الخلاط  وحطت عليهم شوية كرياتين بما انها stylist واتفضل يازوجي وقالك حابب اعمل حاجه عن الزومبي؛ ماتعملهاش تاني ..مفيش مجاملة في الفن والابداع وياريت نبطل نحت,negative
جميل جدا والله انا بعشق الغنية ده جميل جداً جداً        Love you to 🌹♥♥♥♥♥♥♥♥♥♥♥💋,positive
شحاتين اللايكات....اغلب التعليقات ضروري يحشرو فيها (حط لايك-اعمل لايك-دوس لايك...) WTF  فعلا!!!!!!,negative
"الاعلان ده جميل جدا وفكرته لذيذة I like it 
Nice idea بتفرج عليه كل يوم ",positive
"1.5k dislike 😕 
مرضي اقسم بالله 😑",negative
الموسيقي دي بتفكرني بلعبه mafia 1 كنت بحبها اوي,positive
"السلام عليكم ..
نقدم محتوي كوميدي ضاحك عن العائلة 😂
🤘🏻
الرجاء مشاهدة الفيديو واعطائنا رأيكم 
وكيف نطور من انفسنا 
😘

ويارب ينال اعجابكم  😍
اسم القناة - تيم هاتريك Team HattricK

مشاهدة ممتعة 💗",neutral
Top اجمل أغنية في حياتي🤩😻👍🏻👍🏼👌🏼❤️♥️💋🥰🥰,positive
اللي جاي من Project Runway لايك,neutral
"مسلسل graphics 
عالى ♥️ انا مش بتفرج على مسلسلات فى رمضان بس هتابعه لو كان لى عمر ❤️ الجمله الاولى فى البرومو هى فعلا سبب مشاكل الانسانيه غباء الانسان وجهله 👏 شابوه",positive
تامر عاشور الوحيد اللي بيغير مودي 180° ❤✨🤤Favorite singer,positive
ياااااه ايوه بقى 😂 يعني ال come back ب مايان يعني اجمد come back دي ولا اي 😂 💜,positive
متى راح ينزل على youtube,neutral
بسمعها كل شوية روعه I love it very much really it is very good song my family and me dance on it every day and I love Abu and yosra😚😚😚😚😚😚😚😚😍😍😍😍😍😍😍😍❤❤❤,positive
"fantastica 
amazing
رائعة
انا سمعتها فوق ال 1200 مرة <3",positive
"هذه الاغنية جميلة جدا   
Lovee  you from lebanon",positive
انا مال اهلي؟ ببتسم لييييه؟ هو بيقولها sugar وهي Omar انا دخلي ايييه؟يخرب بيت الارتباط اللي بيجيب حموضة وبسمة هبلة,negative
المشاهدات fake والدليل لها اكثر من خمسه ايام وهي 52 مليون اغنيه ماتستاهل والله,negative
وااااو  حمدي المرغني 😍😍😍و شو شو دايما عسل والبرنامج تحفه love you 😘😘,positive
"بليز اعمل مراجعة لفلم hereditary 
الفلم كتيييير disturbing واظن هاد الاشي اللي مخليه اقوى فلم شفته من هالنوع",positive
Bravo راجل,positive
في 5000 معاق عاملين unlike 😂😂,negative
ياسمين عبدالعزيز You are beautiful character ❤💙,positive
هذا الموسقي مسروقة من مغني راب جزائري lagerino اسم اغنية Panama,negative
الحلقة كانت حلوة 👍👍Great jobs,positive
مين عامل dislike 😅,neutral
Nice song من  اندونسيا 🇮🇩,positive
ياريت نعرف مين مؤلف وملحن و موزع العمل ده Vodafone Egypt@,neutral
السلام عليكم انا hafid saqrr from morocco تحية ليكم و لمصر  الشقيقة التي زرتها سابقا .المهم انا من المعجبين بالدراما المصرية وياريت لو تجيبو لنا فيلم تيتو والدولرز احمد السقا لان افلام غير موجودين او بالاصح موجودين متقطعين في YouTube. وشكرا .Thank you,positive
انا جاي بعد اغنية TiK ToK😍💙❤,positive
"Big love to الأسطورة , from Morocco 🇲🇦❤️",positive
العيال الوسخة السرسجية اللي عاملين dislike يروحوا يسمعوا محمد رمضان,negative
كان فين من اول رمضان انا كنت مستني تامر بس ماتوقعتش وي هتتعاقد مع نجم الشرق وايمن قمر وايهاب عبدالواحد ومحمد عاطف ايو بقى  #الاصل_مصري.. شكرا  وي ... قبل اي حد We I#.. الله الله على المصريين الله نجاح بعد اورانج #سنة_الحياة_الجسمي الله عليكم ياولاد مصر ع حق والله الله على المصريين الله .. الله الله ده جمال لله لله ..#مدين_قمر,positive
"اغنيه تحففففففه والله بجد 
I love you sing 😍😘😚😙",positive
"لحن مسروق مع الاسف ن اغنية فرنسية : https://www.youtube.com/watch?v=39y8RWATD04
shame on you",negative
اللحن مسروق من أغنية ho jaane do aar paar من فيلم KGF,negative
"الولية روجينا لابسة من غير هدوم 
لا مش بس هيا دول كلهن تفننو في اظهار مفاتنهن
و زوجها الدكتور اشرف واقف زي البقف ، فرحان قوي يا خويا ؟ جاتك نيلة و انت شبه كارتون Chrek",negative
فى 51 متحرش عاملين unlike :D,negative
اشتركو في قناتي kalash 23 ادعموني عندي 3 مشتركين,neutral
"اشتركوا في قناة FC Network 
    العصر الجديد لليوتيوب",neutral
ثوانى حد لاحظ ان جكت سريه مكتوب عليه Plak pank  كم شخص لاحظ 🤔,neutral
سارق اللحن من Papa Bear - Cherish The Love,negative
برنامج صاحبة السعادة من اجمل واروع واحلي برامج dmc   .,positive
"Too much autotune 
على صوت منير .. حاجة صعبة 😒 لو كانو زودوها شوية كنا سمعنا صوت روبوت 😆😆",negative
محمد رمضان ينفع طعتيني مليون جنيه please,neutral
"Good job 
اللللللللللللللللللللللللله ي الابداااااااااااااع 
😍😍😍💔💜💞💝💝💓💔💟💕💟💞💝❤❤💓💝💟💟💟💔💞💓❤❤💝💞💟💕💕💞💓❤❤💝💞💟💕💕💔💝💓❤💝💞💟💕💔💞💝💓❤💓💟💞💓❤❤💞💟💕💟💞💓❤❤💓💞💟💕💕💞💓💓❤💓💔💕💟💝💓❤💝💟",positive
اكيد اللي عاملين dis like دول تبع فودافون,neutral
هو Comedy ولا لأ,neutral
الغريب انه لا افكار سينمائية من وحي الخيال العربي . Action معناها ترجمة للغة عربية مع المحافظة ع الأفكار الهوليوودية,negative
"my soul🥺❤
احلى مين يفرحنا ويدلعنا ويعطينا امل في بكرة 🤩🤩 ..
لما يتحقق حلمي وشوفك بالحقيقة وأتصور معك واحكي معك اديش بحبك واحضرلك حفلة بتكون اللحظة حلوة فعلا بالنسبة الي ..شكرا على الإعلان المبهج يا تيمو بحبك من سوريا ❤😍😘",positive
حبيت الاغنيه بسبب فرقه  b i g 💋💋💋💋❤️🔥,positive
احنا الي تفاجءنا انك تزعجينا دايما بتردداتك رايحة الكعبة و جاية من  red carpet,negative
اغنية جميلة ورائعة nice,positive
I💕 U هيفاء 🇩🇿,positive
"السلام عليكم
كيفكم شباب وصبايا
نحنا عاملين قناة بننشر trailer للافلام مترجمة للعربي
ومقاطع مقارنات بين الافلام بتمنى تفوتو عالقناة وتشوفو المحتوى واذا عجبكون بتمنى تشتركو واذا ما عجبكون بتكونو شرفتو القناة
مع تحياتي 🌹🌹",neutral
I love this song حب,positive
مراجعة ل122 plz 😏,neutral
القمر شريهان welcome back 🥰💃🤩,positive
شابووووووو SNL بالعربي ابدعتو بس طولتو الغيبه بدنا موسم جديد وشابووووو كمان ل باسم يوسف,positive
احلي شركه we,positive
احسن ناقد في مصر 👍🏻👍🏻 لازم تعمل حلقة لمسلسل Dark بقى,positive
اتبسطت اوي اوي بالفيديو كلك حلوة وبحب منتجاتك عشان بتقولي رايك فيها بجد وبكل صراحة i love you,positive
حسيت الدنيا full of love 😍,positive
لو  عاوز تشوف اكتر فيديوهات كوميدي اعمل سبسكريب لقناتي اسم القناة zeyad xxx,neutral
يا ربي مبسوطه على اكتشافي العظيم لهاذي الأغنيه و ذا الفنان من اليوم اناbig fan for him 💕,positive
ممكن تقلولي امتا الاعادة علي قناة  on اسلنا مشفتش الحلقة,neutral
احسن شركه we,positive
"العربيه الى كان بيقول عليها هى 
دودج      DoDj",neutral
دايما محمود العسيلي لما يدخل اي اغنيه بيبقي صوتوا فيه positive Energy حاجه كده  تفوق الخيال ♥️♥️⚡,positive
أيه رأيك في wildlife ؟,neutral
"Life lessons والله ❤️
وعيطتني",positive
هو ليه في jump cuts كتيرة ؟!!,neutral
"كل التعليقات كيبوبيين جايين من الحب BIG 
ارمي أثبتوا وجودكم لايك 
إكسولز أثبتوا وجودكم لايك 
بلينك أثبتوا وجودكم لايك 
اسفه ما اعرف أسماء الفان حبيت الفرق الباقيه المهم أثبتوا وجودكم لايك 
الي يشوف ان أداء big أفضل واكيت وأرق لايك   .......",positive
hereditary مراجعة امتي ؟,neutral
والله العظيم حسن الرداد دمه خفيف وعسل انا بحبه خالص والله ممثلي المفضل i love you hassan 😍😍😍😍😍❤️❤️❤️❤️💕💕💕💓💓💓❤️❤️💗💗وعلى فكرة انا عندي ١٣ سنة بموت فيك يا حسن وسمعت كل أعمالك 😍💕💕💕💕💕,positive
Tooop تحياتي من الجزائر لي اهلي في مصر,positive
ايه القرف والغم ده انا مركذ مع ال kpop,negative
Low low low ياليت ما عملوها. تلوث بصري و سمعي,negative
"مين الموديل الاولى ؟
what is the name of the model that snatched Amr's Pepsi ?",neutral
"تقلييييييد واضح جدا
مسلسل عصابة peaky blinders
ياريت تبطل تقليد",negative
"إطلالة غير موفقة يا ناهد.especially the jewelry, it doesn't work with the dress",negative
شكر لتطبيق shazam,positive
فى ٩٠٠٠ لطخ عاملين un like مش فاهم لى,negative
رجعتينا لايام زمان يا شيرى we love you so much 🌹🌹,positive
"مين الي يسمعها ب 2020 بزمن كورونا 😻😻🌙
The night 7;06 
2020/10/20
Good bye🌙💤تحيه من العراق الئ مصر أم الدنيا
احلي شئ موجود الممثل الراقي الأنيق عزت أبو عوف 
وطبعا البرنسيسه يسرا",positive
Wow 😍👏Wow عبقرية #يوسف الشريف اللانهائية 😘👏👍😍 المسلسل هيبقى نقلة تاريخية في الدراما المصرية بمستوي هوليوود 👏👍😘😍 فعلا #Chapeau يوسف الشريف وكل كاست المسلسل 😘😍   رووووووعة,positive
"Venom 
يا مهديييي",neutral
"I LOVE YOU
دنيا و ايمي سمير
غانم انا امل ايهاب",positive
Look مقرف,negative
Happy new year للجميع,positive
احلى dislike,negative
لو سمحت هي شركه we ممكن تقبل طالب في وظيفه الكول سنتر,neutral
Nice محمد رمضان 🙂🌙,positive
Dislike وأفتخر ✌🏻,negative
هما اللي عاملين dislike  دول مش بني ادمين معانا ولا ايه .. ولا انتو متاجرين مثلا,negative
يا فودافون تليفون مني ذكي الظهر samsung والوش iphon x,neutral
اسلوب و لحن الاغنية مسروق من اغنية كيندجي cool لينك الاغنية https://youtu.be/NbVnbwCKigo,negative
تجربه جديده حتى لو مش متقنه 100٪ بس مع الوقت مجال cgi حيكبر فى مصر المهم نديله فرصه هى دى البدايه ويارب تظبط,positive
نفسي اعرف مين الاهبل اللي عامل UNlike,negative
No comment على القرف داا,negative
"نفسي اعرف ليه مذيعة ال   BBC عربي مابتعرفش تتكلم عربي و لا تقرأ عربي.
غريب ان قناة عريقة زي BBC توظف انسانة لا تجيد اللغة العربية",negative
نفس الجمال و الحلاوة و الدلع و الابهار و الشياكة و لا كان فات يوم واحد. حمدللة علي السلامة the one and only Sherihan!!! Loving you so so so much,positive
number 1 شهر رمضان,positive
الله اكبر عليك ربنا يسعدك وصلوا. النيك توك بتاعي لتامرbelal ammar 00,positive
يا جماعه وصلوا Roznama  لـ مليون مشترك Please,neutral
الفيل الازرق ٢ افضل cgi مصري و الاقرب للافلام الاجنبية,positive
تقنية الDeep  Face بس سيئه أوي,negative
"Egypt 👑👑
مصر قوية برجالها تحيا ليكم من كردستان",positive
اكيد ال عاملين Dislike مبيحبوش الشاي 😂😂😂 !!,neutral
انا بغني عندي تيك توك اسمه Belal ammar 00عايز اوصل لتامر يا جماعه  وصلوني,neutral
Dislike ليك يا ابن مرات ملك الغابة,negative
"كلمات أغنية إعلان zed لتامر حسني
يا نهار الشوق على أجمل ناس احساس الحب أهو جمعنا
هنعيش عمرنا ماخلاص
هنعيش فرحتنا اية يمنعنا
طول يا نهار للفرحانين
اللحظة الحلوة لازم تتعاش
واستني يا شمس كمان ساعتين
وبلاش دلوقتي تغيبي بلاش
طول ياليل متفارقناش
نسينا كل الي فات كدة بالمرة
واسهر معانا ياليل ومتسبناش
هي الحياة هنعشها دي كام مرة
اسهر في الليل ويا العشاقين
دي اللحظة الحلوة لازم تتعاش
واستني يا شمس كمان ساعتين
وبلاش دلوقتي تيجي بلاش",neutral
احلي اعلانين         Vodafone و       orange,positive
"اكثر من 200 million 😍😍😍
ثلاث دقات 
موااااااااااااااااااا💥اااااااااااااال",positive
"How To Make Easy Milkshake / طريقة عمل ميلك شيك  ب 5 اشكال مختلفة بطعم رائع افضل من المحلات🥰👌
https://youtu.be/JJnHPZSNLFM",neutral
"عاش💪⁦❤️⁩
الابداع كله هيبقي علي on E⁦❤️⁩",positive
شركه we قذره,negative
مسلسل الصياد  u should see,neutral
إنسان تافة ويقلد أغنية سنوب دوق hangover,negative
اغنية ممتاز very good,positive
انا بحب هذا المسلسل جدا جدا I know that it behaves himself 😅,positive
الناس الي عامله dislike انتو ناس متخلفه ومرضه نفسيا,negative
الناس ال عاملة dislike  دول مجااانين ولا اي😒😒😒,negative
"مايان انا بعشقها ❤️
Peace cake شكراً علي الجمدان دا❤️",positive
Number 1 بجد وعهد الله ⁦❤️⁩⁦❤️⁩,positive
المغني كنه فرناندو سوكري من prison break ولا انا غلطان 😂,neutral
مش عارفه الناس الي بتعمل dislike بتعملها ليه مفيش حاجه وحشه الفيديو جامد اوي ♥️♥️,positive
عجبتني حلوة فكرة Vs وموسيقي جميلة,positive
مين لاحظ علامة bts والارمي bomb في الاخر,neutral
"A very beautiful song 😊
تحية من الجزائر",positive
"The new PUBG skin mod
جلدد ببجي المود الجديد:
فيس بوك : https://www.facebook.com/LO%C3%B4RdV-Gaming-107993928129661/

رابط قناة اليوتيوب : https://youtube.com/channel/UCaFw3KXrjtWEuNz7uFHLZlw",neutral
"الاسم: The hope 💙
البلد: مصر 
الحلم: طب ان شاء الله نفسي اساعد الناس والفقرا واعالجهم 🥺🥼🩺👩🏻‍⚕️💪🏻✊🏻🤲🏻
السنة الدراسية: 3ثانوي 2021
امانه اي حد يشوف تعليقي يدعيلي ولكم بالمثل وزيادة يا رب🤲🏻💙",neutral
الفن الهابط  kikiiiiii,negative
اشترك في قناه   هعمل gjve away لما اجيب الف مشترك ⁦♥️⁩💃⁦♥️⁩🔥,neutral
مين جاي من فرقة plG,neutral
من فضلكم ادخلو لقناتي Noody o ودعيو معايا بالذرية الصالحة الله يجزاكم خير دعوة الغريب مستجابة🤲🏻🤲🏻🤲🏻,neutral
"الضيفة محتاجة تشتغل بزيادة على speaking skills 
وكتير منغلقة على نفسها ✋🏻",neutral
أصحاب ال dislike  عيب عليكم,negative
وش ذا الاسم (أبو) يهموني بس الاغنيه رووعه انا احبك احبك يسرا Love 😍,positive
67 million مشاهد,neutral
I'm on Instagram as @mohamed_zidan_dedo. Install the app to follow my photos and videos. https://www.instagram.com/invites/contact/?i=dvjbju5wny0z&utm_content=11rtssr بتاعي ياريت متابعة الانستقرام,neutral
الحمار العمل dislike,negative
Scattin' -Zoot Suit يا جماعه هي دي الاغنيه اللي كانت موجوده في الاعلان,neutral
"يا جدعان هو ليه مافيش حد بيراجع الترجمة الانجليزي أنا نفسي أفهم! ما ينفعش كده والله
Security forces managed to ""assassinate"" the terrorist 
قوات الأمن تمكنت من ""اغتيال"" الارهابي؟ على أساس انه ضحية مثلاً؟
اسمها naturalize the terrorist",negative
الفيديو جامد يا حسن التريند انشاء الله  I love you yasmine,positive
اي حد نفسه يعمل ريجيم رمضان يخش يعمل subscribe ويشوف فيديو ريجيم رمضان ❤️❤️❤️❤️🌙🌙🌙,neutral
اللي يحب النبي يضغط  subscribe  ي شباب <3,neutral
٢٠١٨ الناس الي بتعمل unlike المفروض ميبقاش مسموح ليكوا تستخدموا الانترنت تاني اصلا,negative
Number 1 الهضبة وكفي ع❤د,positive
"Wooooooooooow 😍😍😍 orange
رمضان كريم 💜🌙",positive
انا بحب snl بالعربي  ❤😍😍😍😍😍😍😍😍,positive
"اللحن نفس لحن 
The truth roisn murphy",neutral
واقسم بالله الدعايه خدعه والفلم خدعه ما ادفع عليه تذكرة ربع دينار بكرسي vip,negative
أحلى interview بحبها جدا,positive
والله القناه الوحيده اللي بيسيب الاعلان شغال ومش بعملو skip,negative
"الناس اللى عاملة dislike دى مريضة نفسيا 
ربنا يعينكم عالبليلة اللى فدماغكم",negative
احلى اعلان We سمعتة,positive
الكليب مستوحى من أغنية 69 punani,neutral
طب قبل الهري اللي هيكون ف مسلسلات رمضان نحب نقول إن يوسف الشريف اكتسح وبفارق سنوات ضوئية ،، شابوه ليك يا عالمي RESPECT 👏👏👏👏👏,positive
انا مش عارف مين الفاجر اللي عامل unlike دة,negative
"Rudy manc فكرة المزيكا من 
غبي حافظ مش فاهم ابتكرو وبلاش غباء",negative
انا زهقت من كتر ما بعمل dislike        يمكن انا الوحيد اللى شايفك متسول,negative
انا حبيت الاغنية جدا بجد i love you❤,positive
السيد محمد رمضان   هي الشخصية اسمها  MArO,neutral
عسل ياسمين عبد العزيز .. كفاية خفة دمها ... ممثلة فيلم علاء الدين الجديد فيها كتير من شكلها ... الممثلة اللي اسمها Naomi Scott.,positive
ممكن تعملي الجزء الثالث منthe boy بليز,neutral
"شفتها ع tv مصدقتش نفسي جيت على هنا نعم هي شريهان 
ماشاء الله  تبارك الرحمن  قمر 🧿💖",positive
اغنية  سخيفة  I  not love يستفز  الفقراء   و يتبهى  بمالوا  فلسطين  مو محتاجة  لدعمك  فلسطين  حرة  من معي  😕,negative
اللي عايز مني الشاذلي تجيب Boy band يعمل لايك عشان يوصل لمني الشذلي متفقين,neutral
مافيا هو النسخه العربيه من smooth criminal  لمايكل جاكسون ونفس السلاح نفس اللبس,neutral
من طرف Max hd,neutral
مين جي لانو سمع فرقة big تغنيها وحبها 😁,neutral
ياريت كنتم عملتوا repost  للاعلان ده بدل م انتو مش عارفين تعملوا اعلان تاني زيه 😔,negative
"موقع الربح بمجرد النقرات تم نقله ياشباب
من Successhare لـ Paidollars
وروابطه تعمل عالفيس بوك 
http://lkky.co/oY2j",neutral
ال باتشينو في فيلم godfathers ساعة لما قتل الظابط و التركي و مسلسل breaking bad,neutral
نفسي اعرف مين اللي عامل unlike 😪😪,neutral
فروع شركة We فى مصر اشترك ليصلك كل جديد   https://www.youtube.com/watch?v=imfZo9jJcs8,neutral
انت محترم ي عاشور وكليب رايق لا جايب واحده عريانه تشهر الكليب ولا الكاكاو الفاضي دا لانك متمكن وواثق ف صوتك استمر keep it up ♥️👍🏻,positive
نت ضعيف يا Vodafone,negative
لو سمحتوا ماهو اسم الأغنية slow في الدقيقة ٢٠.٤١ واكون ممنون,neutral
"كريم عبد العزيز تاريخ سينما الحديث لمصر 
زعلان انك ي مدام اسعاد متكلمتيش عن مسلسل وش تاني او ملحمة مسلسل الهروب بس حلقه روعه وابداع تحسسنا اننا لسه عندنا نماذج فنيه تقدر تصنع وتتواجد علي الساحه تهدم الفن الهابط great time",positive
الى يحب حمادة هلال يضخط like,neutral
"الاغنيه روعة كالعادة 
My favorite singer 😍",positive
انا بعمل ڤيديوهات رومانسية بليز تابعو my channel,neutral
"كل الي عاملين dislike 
جماعة إنتوا متحرشين؟",negative
الشاف الفيديو دى فى 2018 like,neutral
نفسي اعرف الناس الي عاملة unlike ايه مشكلتها مع الاغنية ؟؟!!!,neutral
"روجينا OMG 
Make up تمثيل wow wow اه الجمال دا 👌👏👏👍🥰",positive
اعمل مراجعة لفيلم American psycho,neutral
"تحيه للراجل اللي لما شفها قلبه دق 3 دقات عقبالنا كلنا يارب 😍😍😃
subscribe l my channel plzzz😍😍",positive
ازاي في ناس عاملة dislike,neutral
LOVE you  على اغيت,positive
افضل فيلم في خدع بصريه الفيل الأزرق رغم قله ال CGI اللى موجوده بس اتعملت ب احترافيه,positive
يللي جاي من B. I. G لايك♥️,positive
"انا في انتظار دعمكم القناه الجديده علي اليوتيوب

I am waiting for your new channel support on YouTube

https://www.youtube.com/channel/UCE0QsX6u_a3bv5tmNvoGcUQ",neutral
اية الغلاسة دي ?! طيب متفترقوش بس تعمل unlike عشان التفاهة دي !,negative
